Numbers,NAME,pl_orbper,pl_semi_min,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radius_au,pl_radj,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_radius,st_sun_rad,size_star_planet,j_rad,sun_rad
104,Kepler-427 b,10.290994,0.074769667,0.091,0.57,0.29,0.00058781,1.23,0.16,1100,14.42,5800,0.96,0.006278132,1.35,10.68053047,0.000477895,0.004650468
138,HATS-33 b,2.5495551,0.037150545,0.03727,0.08,1.192,0.00058781,1.23,0.79,255,11.911,5659,1.06,0.004743477,1.02,8.06973413,0.000477895,0.004650468
28,Kepler-39 b,21.08721,0.162968146,0.164,0.112,20.1,0.00059259,1.24,13,1200,14.46,6350,1.29,0.006510655,1.4,10.98678224,0.000477895,0.004650468
30,WASP-61 b,3.8559,0.049632283,0.0514,0.26,2.06,0.00059259,1.24,1.423,480,12.5,6320,1.22,0.006324636,1.36,10.67287417,0.000477895,0.004650468
68,WASP-124 b,3.37265,0.044893511,0.0449,0.017,0.6,0.00059259,1.24,0.43,433,12.7,6050,1.07,0.004743477,1.02,8.004655629,0.000477895,0.004650468
25,HAT-P-24 b,3.35524,0.046395513,0.0465,0.067,0.685,0.00059355,1.242,0.44,396,11.818,6373,1.19,0.006138618,1.32,10.342285,0.000477895,0.004650468
125,HATS-32 b,2.8126548,0.03549704,0.04024,0.471,0.92,0.00059689,1.249,0.58,839,14.384,5700,1.1,0.005115515,1.1,8.570268198,0.000477895,0.004650468
131,HATS-29 b,4.6058749,0.054062291,0.05475,0.158,0.653,0.00059785,1.251,0.411,351,12.612,5670,1.03,0.004976001,1.07,8.323205819,0.000477895,0.004650468
122,HATS-25 b,4.2986432,0.050824064,0.05163,0.176,0.613,0.00060215,1.26,0.38,466,13.097,5715,0.99,0.005162019,1.11,8.572679745,0.000477895,0.004650468
77,HAT-P-5 b,2.788491,0.04075,0.04075,0,1.06,0.00060215,1.26,0.66,340,12,5960,1.16,0.005441047,1.17,9.036067839,0.000477895,0.004650468
159,HAT-P-36 b,1.327347,0.023752722,0.0238,0.063,1.832,0.00060406,1.264,1.12,317,12.262,5560,1.02,0.005115515,1.1,8.468564065,0.000477895,0.004650468
185,WASP-39 b,4.055259,0.0486,0.0486,0,0.28,0.00060693,1.27,0.186,230,12.11,5400,0.93,0.004185421,0.9,6.896090537,0.000477895,0.004650468
56,WASP-75 b,2.484193,0.0375,0.0375,0,1.07,0.00060693,1.27,0.69,260,11.45,6100,1.14,0.00585959,1.26,9.654526752,0.000477895,0.004650468
40,WASP-72 b,2.2167421,0.03708,0.03708,0,1.5461,0.00060693,1.27,0.96,340,10.88,6250,1.39,0.009207926,1.98,15.17139918,0.000477895,0.004650468
213,WASP-52 b,1.7497798,0.0272,0.0272,0,0.46,0.00060693,1.27,0.29,140,12,5000,0.87,0.00367387,0.79,6.053235027,0.000477895,0.004650468
183,WASP-64 b,1.5732918,0.02648,0.02648,0,1.271,0.00060741,1.271,0.823,350,12.29,5400,1,0.004929496,1.06,8.115671896,0.000477895,0.004650468
